Candidate,Date,Endorser,Position,Pts.
Hillary Clinton,6/7/2016,Nancy Pelosinew,Rep. (D-Calif.),1
Hillary Clinton,5/31/2019,Jerry Brownnew,Gov. (D-Calif.),10
Hillary Clinton,5/29/2019,Norma Torresnew,Rep. (D-Calif.),1
Hillary Clinton,5/25/2019,Robert Menendeznew,Sen. (D-N.J.),5
Hillary Clinton,5/21/2019,Albio Siresnew,Rep. (D-N.J.),1
Hillary Clinton,5/21/2019,Sam Farrnew,Rep. (D-Calif.),1
Hillary Clinton,4/29/2019,Earl Ray Tomblinnew,Gov. (D-W.Va.),10
Hillary Clinton,4/26/2019,Brendan Boylenew,Rep. (D-Pa.),1
Hillary Clinton,4/25/2019,Robert Bradynew,Rep. (D-Pa.),1
Hillary Clinton,4/16/2019,Mike Doylenew,Rep. (D-Pa.),1
Hillary Clinton,4/10/2019,Elijah Cummingsnew,Rep. (D-Md.),1
Hillary Clinton,3/29/2019,Ron Kindnew,Rep. (D-Wis.),1
Hillary Clinton,3/21/2019,Kate Brownnew,Gov. (D-Ore.),10
Hillary Clinton,3/7/2019,Gwen Grahamnew,Rep. (D-Fla.),1
Hillary Clinton,2/28/2019,Lloyd Doggettnew,Rep. (D-Texas),1
Hillary Clinton,2/26/2019,Ben R. Lujannew,Rep. (D-N.M.),1
Hillary Clinton,2/24/2019,Susan Davisnew,Rep. (D-Calif.),1
Hillary Clinton,2/24/2019,Raul Ruiznew,Rep. (D-Calif.),1
Hillary Clinton,2/24/2019,Harry Reidnew,Sen. (D-Nev.),5
Hillary Clinton,2/24/2019,Mark DeSaulniernew,Rep. (D-Calif.),1
Hillary Clinton,2/24/2019,Eric Swalwellnew,Rep. (D-Calif.),1
Hillary Clinton,2/19/2019,James E. Clyburnnew,Rep. (D-S.C.),1
Hillary Clinton,2/7/2019,Juan Vargasnew,Rep. (D-Calif.),1
Hillary Clinton,2/5/2019,Jim Costanew,Rep. (D-Calif.),1
Hillary Clinton,2/3/2019,Alma Adamsnew,Rep. (D-N.C.),1
Hillary Clinton,2/1/2019,Chaka Fattahnew,Rep. (D-Pa.),1
Hillary Clinton,1/30/2019,Ron Wydennew,Sen. (D-Ore.),5
Hillary Clinton,1/29/2019,Al Greennew,Rep. (D-Texas),1
Hillary Clinton,1/26/2019,David Pricenew,Rep. (D-N.C.),1
Hillary Clinton,1/19/2019,Mike Quigleynew,Rep. (D-Ill.),1
Hillary Clinton,1/8/2019,Frank Pallone Jr.new,Rep. (D-N.J.),1
Hillary Clinton,1/7/2019,G.K. Butterfieldnew,Rep. (D-N.C.),1
Hillary Clinton,12/18/2015,Earl Blumenauernew,Rep. (D-Ore.),1
Hillary Clinton,12/16/2019,Linda Sáncheznew,Rep. (D-Calif.),1
Hillary Clinton,12/15/2019,Brad Ashfordnew,Rep. (D-Neb.),1
Hillary Clinton,12/7/2019,Michael E. Capuanonew,Rep. (D-Mass.),1
Hillary Clinton,11/30/2019,Jackie Speiernew,Rep. (D-Calif.),1
Hillary Clinton,11/30/2019,Pete Aguilarnew,Rep. (D-Calif.),1
Hillary Clinton,11/30/2019,Jerry McNerneynew,Rep. (D-Calif.),1
Hillary Clinton,11/30/2019,Maxine Watersnew,Rep. (D-Calif.),1
Hillary Clinton,11/30/2019,Anna G. Eshoonew,Rep. (D-Calif.),1
Hillary Clinton,11/19/2019,John A. Yarmuthnew,Rep. (D-Ky.),1
Hillary Clinton,11/17/2019,Donna F. Edwardsnew,Rep. (D-Md.),1
Hillary Clinton,11/17/2019,Jack Reednew,Sen. (D-R.I.),5
Hillary Clinton,11/17/2019,C. A. Dutch Ruppersbergernew,Rep. (D-Md.),1
Hillary Clinton,11/17/2019,John P. Sarbanesnew,Rep. (D-Md.),1
Hillary Clinton,11/17/2019,Alan Graysonnew,Rep. (D-Fla.),1
Hillary Clinton,11/16/2019,Ruben Gallegonew,Rep. (D-Ariz.),1
Hillary Clinton,11/14/2019,Suzan DelBenenew,Rep. (D-Wash.),1
Hillary Clinton,11/14/2019,Jay Insleenew,Gov. (D-Wash.),10
Hillary Clinton,11/14/2019,Denny Hecknew,Rep. (D-Wash.),1
Hillary Clinton,11/13/2019,Ann Kirkpatricknew,Rep. (D-Ariz.),1
Hillary Clinton,11/13/2019,Bobby L. Rushnew,Rep. (D-Ill.),1
Hillary Clinton,11/13/2019,Joe Donnellynew,Sen. (D-Ind.),5
Hillary Clinton,11/11/2019,Tony Cárdenasnew,Rep. (D-Calif.),1
Hillary Clinton,11/11/2019,Gwen Moorenew,Rep. (D-Wis.),1
Hillary Clinton,11/11/2019,Corrine Brownnew,Rep. (D-Fla.),1
Hillary Clinton,11/10/2019,Christopher A. Coonsnew,Sen. (D-Del.),5
Hillary Clinton,11/9/2019,Bennie G. Thompsonnew,Rep. (D-Miss.),1
Hillary Clinton,11/8/2019,Seth Moultonnew,Rep. (D-Mass.),1
Hillary Clinton,11/5/2019,Maria Cantwellnew,Sen. (D-Wash.),5
Hillary Clinton,11/4/2019,Jay Nixonnew,Gov. (D-Mo.),10
Hillary Clinton,10/28/2019,Heidi Heitkampnew,Sen. (D-N.D.),5
Hillary Clinton,10/28/2019,Jared Huffmannew,Rep. (D-Calif.),1
Hillary Clinton,10/27/2019,Sherrod Brownnew,Sen. (D-Ohio),5
Hillary Clinton,10/26/2019,John Carneynew,Rep. (D-Del.),1
Hillary Clinton,10/26/2019,Thomas R. Carpernew,Sen. (D-Del.),5
Hillary Clinton,10/23/2019,Paul D. Tonkonew,Rep. (D-N.Y.),1
Hillary Clinton,10/21/2019,Jack Markellnew,Gov. (D-Del.),10
Hillary Clinton,10/20/2019,Eliot Engelnew,Rep. (D-N.Y.),1
Hillary Clinton,10/19/2019,Joe Courtneynew,Rep. (D-Conn.),1
Hillary Clinton,10/16/2019,William Keatingnew,Rep. (D-Mass.),1
Hillary Clinton,10/14/2019,Edward J. Markeynew,Sen. (D-Mass.),5
Hillary Clinton,10/13/2019,Yvette D. Clarkenew,Rep. (D-N.Y.),1
Hillary Clinton,10/13/2019,Hakeem Jeffriesnew,Rep. (D-N.Y.),1
Hillary Clinton,10/5/2019,John Hickenloopernew,Gov. (D-Colo.),10
Hillary Clinton,10/5/2019,Robert C. Scottnew,Rep. (D-Va.),1
Hillary Clinton,9/17/2019,Maggie Hassannew,Gov. (D-N.H.),10
Hillary Clinton,9/13/2019,Ann Kusternew,Rep. (D-N.H.),1
Hillary Clinton,9/7/2019,David Loebsacknew,Rep. (D-Iowa),1
Hillary Clinton,9/7/2019,Cheri Bustosnew,Rep. (D-Ill.),1
Hillary Clinton,9/1/2019,Zoe Lofgrennew,Rep. (D-Calif.),1
Hillary Clinton,8/31/2019,Tammy Baldwinnew,Sen. (D-Wis.),5
Hillary Clinton,8/28/2019,Timothy J. Walznew,Rep. (D-Minn.),1
Hillary Clinton,8/24/2019,Donald Payne Jr.new,Rep. (D-N.J.),1
Hillary Clinton,8/24/2019,Bill Pascrell Jr.new,Rep. (D-N.J.),1
Hillary Clinton,8/24/2019,Bonnie Watson Colemannew,Rep. (D-N.J.),1
Hillary Clinton,8/24/2019,John Garamendinew,Rep. (D-Calif.),1
Hillary Clinton,8/18/2019,Jim Himesnew,Rep. (D-Conn.),1
Hillary Clinton,8/6/2019,Xavier Becerranew,Rep. (D-Calif.),1
Hillary Clinton,8/5/2019,Scott Petersnew,Rep. (D-Calif.),1
Hillary Clinton,7/15/2019,Lois Cappsnew,Rep. (D-Calif.),1
Hillary Clinton,7/15/2019,Marcia L. Fudgenew,Rep. (D-Ohio),1
Hillary Clinton,7/14/2019,André Carsonnew,Rep. (D-Ind.),1
Hillary Clinton,7/13/2019,Suzanne Bonamicinew,Rep. (D-Ore.),1
Hillary Clinton,6/27/2019,Niki Tsongasnew,Rep. (D-Mass.),1
Hillary Clinton,6/26/2019,Don Beyernew,Rep. (D-Va.),1
Hillary Clinton,6/26/2019,Brenda Lawrencenew,Rep. (D-Mich.),1
Hillary Clinton,6/23/2019,Matthew Cartwrightnew,Rep. (D-Pa.),1
Hillary Clinton,6/23/2019,"William ""Lacy"" Clay Jr.new",Rep. (D-Mo.),1
Hillary Clinton,6/13/2019,Tom Wolfnew,Gov. (D-Pa.),10
Hillary Clinton,6/13/2019,Elizabeth Estynew,Rep. (D-Conn.),1
Hillary Clinton,6/13/2019,John B. Larsonnew,Rep. (D-Conn.),1
Hillary Clinton,6/7/2019,Dannel P. Malloynew,Gov. (D-Conn.),10
Hillary Clinton,6/5/2019,Steve Cohennew,Rep. (D-Tenn.),1
Hillary Clinton,6/4/2019,Christopher Murphynew,Sen. (D-Conn.),5
Hillary Clinton,5/27/2019,Katherine Clarknew,Rep. (D-Mass.),1
Hillary Clinton,5/20/2019,Peter Shumlinnew,Gov. (D-Vt.),10
Hillary Clinton,5/14/2019,Joseph P. Kennedy IIInew,Rep. (D-Mass.),1
Hillary Clinton,5/12/2019,James McGovernnew,Rep. (D-Mass.),1
Hillary Clinton,5/5/2019,Michael F. Bennetnew,Sen. (D-Colo.),5
Hillary Clinton,5/5/2019,Gary Petersnew,Sen. (D-Mich.),5
Hillary Clinton,5/4/2019,Mike Thompsonnew,Rep. (D-Calif.),1
Hillary Clinton,5/4/2019,Kathy Castornew,Rep. (D-Fla.),1
Hillary Clinton,5/4/2019,Jared Polisnew,Rep. (D-Colo.),1
Hillary Clinton,5/4/2019,Brad Shermannew,Rep. (D-Calif.),1
Hillary Clinton,5/4/2019,Sean Patrick Maloneynew,Rep. (D-N.Y.),1
Hillary Clinton,5/4/2019,Julia Brownleynew,Rep. (D-Calif.),1
Hillary Clinton,5/4/2019,Kurt Schradernew,Rep. (D-Ore.),1
Hillary Clinton,5/4/2019,Patrick Murphynew,Rep. (D-Fla.),1
Hillary Clinton,5/4/2019,Marc Veaseynew,Rep. (D-Texas),1
Hillary Clinton,5/4/2019,Joyce Beattynew,Rep. (D-Ohio),1
Hillary Clinton,5/4/2019,Daniel Kildeenew,Rep. (D-Mich.),1
Hillary Clinton,5/4/2019,"Gerald E. ""Gerry"" Connollynew",Rep. (D-Va.),1
Hillary Clinton,5/4/2019,Adam Schiffnew,Rep. (D-Calif.),1
Hillary Clinton,5/4/2019,Rubén Hinojosanew,Rep. (D-Texas),1
Hillary Clinton,5/4/2019,Derek Kilmernew,Rep. (D-Wash.),1
Hillary Clinton,5/4/2019,Ed Perlmutternew,Rep. (D-Colo.),1
Hillary Clinton,5/4/2019,Henry Cuellarnew,Rep. (D-Texas),1
Hillary Clinton,5/4/2019,Filemon Velanew,Rep. (D-Texas),1
Hillary Clinton,5/4/2019,Eddie Bernice Johnsonnew,Rep. (D-Texas),1
Hillary Clinton,5/4/2019,Jim Coopernew,Rep. (D-Tenn.),1
Hillary Clinton,5/4/2019,Kathleen Ricenew,Rep. (D-N.Y.),1
Hillary Clinton,5/4/2019,Adam Smithnew,Rep. (D-Wash.),1
Hillary Clinton,5/4/2019,José E. Serranonew,Rep. (D-N.Y.),1
Hillary Clinton,4/29/2019,Emanuel Cleavernew,Rep. (D-Mo.),1
Hillary Clinton,4/24/2019,"Robert P. Casey, Jr.new",Sen. (D-Pa.),5
Hillary Clinton,4/23/2019,Steve Israelnew,Rep. (D-N.Y.),1
Hillary Clinton,4/23/2019,Cory A. Bookernew,Sen. (D-N.J.),5
Hillary Clinton,4/22/2019,John Conyers Jr.new,Rep. (D-Mich.),1
Hillary Clinton,4/16/2019,Gina M. Raimondonew,Gov. (D-R.I.),10
Hillary Clinton,4/15/2019,Jim McDermottnew,Rep. (D-Wash.),1
Hillary Clinton,4/14/2019,Rosa L. DeLauronew,Rep. (D-Conn.),1
Hillary Clinton,4/13/2019,Tom Udallnew,Sen. (D-N.M.),5
Hillary Clinton,4/12/2019,Andrew M. Cuomonew,Gov. (D-N.Y.),10
Hillary Clinton,4/12/2019,Debbie Dingellnew,Rep. (D-Mich.),1
Hillary Clinton,4/12/2019,Rick Larsennew,Rep. (D-Wash.),1
Hillary Clinton,4/12/2019,Jeanne Shaheennew,Sen. (D-N.H.),5
Hillary Clinton,4/12/2019,Karen Bassnew,Rep. (D-Calif.),1
Hillary Clinton,4/12/2019,Diana DeGettenew,Rep. (D-Colo.),1
Hillary Clinton,4/11/2019,Jerrold Nadlernew,Rep. (D-N.Y.),1
Hillary Clinton,4/11/2019,Nydia M. Velázqueznew,Rep. (D-N.Y.),1
Hillary Clinton,2/2/2019,Brian Schatznew,Sen. (D-Hawaii),5
