idz,candidate,song,artist,sentiment,theme,album_release_date,line,url
1,Mike Huckabee,none shall pass,aesop rock,neutral,NA,2011,"wither by the watering hole, border patrol / what are we to heart huckabee",http://genius.com/aesop-rock-none-shall-pass-lyrics
2,Mike Huckabee,wellstone,soul khan,negative,NA,2012,might find the door but never touch the key / they get tricked by slick Mike Huckabee,http://genius.com/soul-khan-wellstone-lyrics
3,Jeb Bush,awe,dez & nobs,neutral,NA,2006,i heard Jeb Bush looking for a (inaudible),http://genius.com/dez-and-nobs-awe-lyrics
4,Jeb Bush,the truth,diabolic,negative,political,2006,what you heard before ain't as big of a lesson / as george and Jeb Bush rigging elections,http://genius.com/diabolic-the-truth-lyrics
5,Jeb Bush,money man,gorilla zoe,negative,personal,2007,i'm comin back from florida / wit Jeb Bush and his daughter,http://genius.com/gorilla-zoe-money-man-lyrics
6,Jeb Bush,hidden agenda,k-rino,negative,political,2012,the rockefeller's and the bush family in the same box g / henry ford all of them supported the nazis,http://genius.com/k-rino-hidden-agenda-lyrics
7,Jeb Bush,bricks and marijuana,kase,neutral,NA,2001,when Jeb Bush pushing life / if i tout my weapon,http://genius.com/trick-daddy-bricks-and-marijuana-lyrics
8,Jeb Bush,bush song,macklemore,negative,political,2005,"way to go jeb, really great strategy",http://genius.com/macklemore-bush-song-lyrics
9,Jeb Bush,shoot me in the head,r.a. the rugged man,negative,political,2013,"obama nation, the bushes, the clintons or '80s reaganomics / it don't matter, the government always be taking your profits",http://genius.com/ra-the-rugged-man-shoot-me-in-the-head-lyrics
10,Jeb Bush,chamber of fear,rza,neutral,personal,2005,bobby got bush like george and jeb,http://genius.com/rza-chamber-of-fear-lyrics
11,Jeb Bush,tell me why,zeno,neutral,personal,2005,i was promised eternal life from the beginning / but look at bush and his brother,http://genius.com/vanilla-ice-tell-me-why-lyrics
12,Ben Carson,next black president,king los,positive,NA,2011,i was the heart transplant when hip hop died / verbally i'm Ben Carson,http://genius.com/king-los-next-black-president-lyrics
13,Chris Christie,daydreaming,awkwafina,neutral,NA,2014,"Chris Christie, you a man beast",http://genius.com/awkwafina-daydreaming-lyrics
14,Chris Christie,brass tacks,chris webby,neutral,NA,2016,eating rappers like i got the appetite of Chris Christie,http://genius.com/chris-webby-brass-tacks-lyrics
15,Ted Cruz,pnt,apollo brown & ras kass,negative,political,2015,fuck fox news and fuck Ted Cruz,http://genius.com/apollo-brown-and-ras-kass-pnt-lyrics
16,Hillary Clinton,tec in the church,joyner lucas,neutral,NA,2016,"Hillary Clinton ain't gon' like this, she's fanning next to a serpent",http://genius.com/jarren-benton-tec-in-the-church-lyrics
17,Hillary Clinton,thugz tear dropz,young noble,negative,NA,2013,until we really saw the true problem / even hilary couldn't rob him,http://genius.com/young-noble-thugz-tear-dropz-lyrics
18,Hillary Clinton,gotta be insanity,ice cube,positive,personal,2000,would you stay down like hillary? / even if you thought about killin' me?,http://genius.com/ice-cube-gotta-be-insanity-lyrics
19,Hillary Clinton,shorty baby,bas,negative,personal,2013,makin me call lewinski / you fuckin up like hilary did,http://genius.com/bas-shorty-baby-lyrics
20,Hillary Clinton,take notice,sheek louch,neutral,NA,2012,"hillary said i frighten her / alarm go off, choking off the teeth whitener",http://genius.com/wu-block-take-notice-lyrics
21,Hillary Clinton,disgusting,logic,neutral,personal,2012,however on the light of note i stayed with bills like hilary,http://genius.com/logic-disgusting-lyrics
22,Hillary Clinton,my heart,jae tips,neutral,personal,2011,michelle to my obama / you hilary my clinton,http://genius.com/jae-tips-my-heart-lyrics
23,Hillary Clinton,we can get it on,yo gotti,neutral,personal,2012,"we like hova and b / maybe hillary, bill",http://genius.com/yo-gotti-we-can-get-it-on-lyrics
24,Hillary Clinton,where they do that at,yo gotti,positive,NA,2015,all i know is white girl i call her hillary cause that bitch got power plus she so considerate,http://genius.com/yo-gotti-where-they-do-that-at-lyrics
25,Hillary Clinton,what if,nas,neutral,NA,2009,what if hilary and them was reptilian? / and 2012 was the end of men and all world civilians?,http://genius.com/jadakiss-what-if-lyrics
26,Hillary Clinton,we live this,roxanne shant,neutral,NA,2000,"roxanne shant, hilary clinton / lay out the red carpet y'all hoes shut up and listen",http://genius.com/big-noyd-we-live-this-lyrics
27,Hillary Clinton,set me free,crunch lo,neutral,NA,2005,"i'm so sex, and my bonnie, my mami, my hillary rod",http://genius.com/dom-pachino-set-me-free-lyrics
28,Hillary Clinton,letter to the king,the game,neutral,political,2008,if dr. king marched today would bill gates march / i know obama would but would hilary take part,http://genius.com/the-game-letter-to-the-king-lyrics
29,Hillary Clinton,grillz,ali,neutral,NA,2005,got a bill in my mouth like i'm hillary rodham,http://genius.com/nelly-grillz-lyrics
30,Hillary Clinton,nothing on my mind,allday,neutral,NA,2013,young buck but i never suck call me hillary,http://genius.com/allday-nothing-on-my-mind-lyrics
31,Hillary Clinton,gossip folks,angel haze,negative,NA,2012,cause i was alone at the bottom / kept getting played like hilary rodham,http://genius.com/angel-haze-gossip-folks-lyrics
